Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,WggPar,WggGenQuot,WggEffPart,WggCitizen,WggParOth,WggEq,WggEqGen,WggSocEq,WggEqOth,WggGrp,WggIndNom,WggRefDisp,WggPreg,WggGrpOth,WggIntLaw,WggHR,WggHrSta,WggUnsc,WggIntLawOth,WggNewInst,WggInstWom,WggInf,WggRecon,WggNewInstOth,WggVio,WggVioSex,WggVioGen,WggVioProt,WggVioOth,WggTraJus,WggPast,WggPri,WggTraJusOth,WggInstRef,WggConst,WggLawRef,WggJud,WggPol,WggDdr,WggPubAdm,WggInstRefOth,WggDev,WggDevGen,WggRehab,WggEdu,WggHea,WggRepro,WggDevOth,WggImpl,WggImplRole,WggImplSign,WggImplOth,WggOth
South Africa,Government,105,South Africa peace process,Africa (excl MENA),186,1,CODESA Declaration of Intent,1991-12-21,Multiparty signed/agreed,2,4162,Intra,Pre,Prin,"SAG, CODESA (Democratic Party, Dikwankwetla Party,  Inkatha Freedom Party, ANC, Bophuthatswana Govt, Inyandza National Movement, Intando Yesizwe Party, Labour Party of SA, Natal/Tvl Indian Congress, National Party, National People's Party, Solidarity, SA Communist Party, Transkei Govt, United People's Front, Venda Govt, Ximoko Progressive Party)",,,ZAF,,560,,345,1395,,,No,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia/Yugoslavia (former),Government/territory,127,Croatia negotiation process,Europe and Eurasia,1880,1,Agreement Relating to the Establishment of a Protected Zone around the Hospital of Osijek,1991-12-27,Multiparty signed/agreed,4,7942,Intra,Pre,PreOth,"Dr. Ljlijana Stojanovic, Federal Secretariat for Labour, Health, Veteran Affairs and Social Policy 
Col. Dr. Miodrag Starcevic, Federal Secretariat for Defense
Mr. Dragan Knezevic, Expert on International Humanitarian Law for the Yugoslav People's Army
Col. Dr. Darko Ropac, Representative of the Croatian Army
Prim. Dr. Kresimir Glavina, Director of the General Hospital in Osijek
Prof. Dr. Antun Tucak, Representative of the General Hospital in Osijek
Dr. Sava Novakovic, Ministry of Health, Serbia","Chaired by Mr Thierry Germond, Delegate General for Europe of the International Committee of the Red Cross (ICRC)","Page 3, 16.
(1) Nothing in this agreement shall be interpreted as diminishing the obligations of the parties under International Humanitarian Law and their Memorandum of Understanding of 27 November 1991.",HRV,,344,,390,,,864,No,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Government,36,El Salvador peace process,Americas,474,1,Chapultepec Agreement,1992-01-16,Multiparty signed/agreed,70,155571,Intra,SubComp,FrAg,"Representing the Government of El Salvador: (Signed)  

Mr. Oscar SANTAMARÍA 

Col. Juan MARTÍNEZ VARELA 

Gen. Mauricio Ernesto VARGAS 

Mr. David Escobar GALINDO 

Mr. Abelardo TORRES 

Mr. Rafael Hernán CONTRERAS 

Representing the Frente Farabundo Martí para la Liberación Nacional: (Signed) 

Cmdr. Schafik HÁNDAL 

Cmdr. Francisco JOVEL 

Cmdr. Salvador SÁNCHEZ CERÉN 

Cmdr. Eduardo SANCHO 

Cmdr. Joaquín VILLALOBOS 

Salvador SAMAYOA 

Ana Guadalupe MARTÍNEZ 

María Marta VALLADARES 

Roberto CAÑAS 

Dagoberto GUTIÉRREZ","Boutros Boutros-Ghali, UNSG (signatory, status unclear)",,SLV,,92,,316,1110,2,817,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali/(Azawad),Government/territory,74,Mali-Azawad Inter-Azawad peace process,Africa (excl MENA),637,1,Pacte National conclu entre le Gouvernement de la République du Mali et les mouvements et fronts unifiés de l’Azawad consacrant le statut particulier du Nord au Mali,1992-04-11,Multiparty signed/agreed,17,42894,Intra,SubComp,FrAg,"[The document on record does not have signatures but mentions the following parties as having signed:]

Pour le gouvernement de la République du Mali: Le Ministre de l’Administration territoriale chargé des relations avec le CTSP et les associations, Colonel Brehima Siré Traoré

Pour le Bureau de coordination des mouvements et Fronts Unifiés de l’Azawad: Zahabi Ould Sidi Mohamed

Le Président du Comité de Transition pour le salut du Peuple: Lt-Colonel Amadou Toumani Touré","Page 1, Untitled preamble:
[...] 
-	Have, at the conclusion of their peace negotiations in Algiers, mediated by the Democratic and Popular Republic of Algeria, within the framework of this document, agreed to the following:",,MLI,,432,,372,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1469,1,Sarajevo Declaration on the Humanitarian Treatment of Displaced Persons,1992-04-11,Multiparty signed/agreed,2,3975,Intra,Pre,PreOth,"Alija Izetbegovic, President, Party of Democratic Action; Radovan Karadzic, President, Serbian Democratic Party; Miljenko Brkic, President, Croatian Democratic Community","Under the auspices of: United Nations High Commissioner for Refugees, signed by Jose Maria Mendiluce, Special Envoy of the High Commission",,BIH,,346,,389,,,215,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1475,1,Geneva Agreement on humanitarian principles,1992-05-22,Multiparty signed/agreed,4,9374,Intra,Pre,PreOth,"Mr. K. Trnka, Representative of Mr. Alija Izetbegovic, President of the Republic of Bosnia-Herzegovina; Mr. A. Kurjak, Representative of Mr. Alija Izetbegovic, President of the Party of Democratic Action; Mr. D. Kalinic, Representative of Mr. Radovan Karadzic, President of the Serbian Democratic Party; Mr. J. Djogo, Representative of Mr. Radovan Karadzic, President of the Serbian Democratic Party; Mr. S. Sito Coric, Representative of Mr. Miljenko Brkic, President of the Croatian Democratic Community",,"Page 1, Untitled Preamble 
Therefore...taking into consideration the Hague Statement of November 5, 1991;",BIH,,346,,389,,,215,No,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,Government,47,Rwanda-RPF process,Africa (excl MENA),503,1,Protocol of Agreement between the Government of the Republic of  Rwanda and the RPF on the Rule of Law,1992-08-18,Multiparty signed/agreed,7,8585,Intra,SubPar,Iss,"Government of the Republic of Rwanda, Rwandese Patriotic Front","For and on behalf of the Facilitator (United Republic of Tanzania): Benjamin Mkapa, Minister for Science, Technology and Higher Education. 
In the presence of the Representative of the Current Chairman of the OAU: Papa Louis Fall, Ambassador of Senegal to Ethiopia, Tanzania and the OUA
In the presence of the Representative of the Secretary General of the OAU: Dr M. T. Mapuranga, Assistant Secretary General in charge of Political Affairs.","N'sele Agreement, as amended in Gbadolite, on the 16th of September, 1991 and in Arusha on
the 12th of July, 1992.",RWA,,517,,374,1321,,886,No,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,Government,47,Rwanda-RPF process,Africa (excl MENA),504,1,Protocol of Agreement on Power-sharing within the Framework of  broad-based Transitional Government between the Government of the Republic of Rwanda and the Rwandese Patriotic Front,1992-10-30,Multiparty signed/agreed,24,29196,Intra,SubPar,Iss,"Government of Rwanda, Rwandese Patriotic Front","Facilitator: Hon. Ahamed Hassan Diria, Minister for Foreign Affairs and International Cooperation (United Republic of Tanzania)
Witnesses: Papa Louis Fall, Ambassador of Senegal to Ethiopia and Representative to the OUA as the Represenative of the Current Chairman of the OAU; and Dr. T Mapuranga, Assistant Secretary General of the OUA in charge of Political Affairs for the Secretary General of the OUA, Representative of the Secretary General of the OAU.","Page 1, Chapter I General Principles, Article 1:
N'sele Ceasefire Agreement, as amended at GBADOLITE on 16th September, 1991 and at ARUSHA on 12th July, 1992.",RWA,,517,,374,1523,,886,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Rwanda,Government,47,Rwanda-RPF process,Africa (excl MENA),1343,1,"The Protocol of Agreement between the Government of the Republic of Rwanda and the Rwandese Patriotic Front on Power-Sharing within the Framework of a Broad-based Transitional Government (Continuation of the Protocol of Agreement Signed on the 30th October, 1992)",1993-01-09,Multiparty signed/agreed,13,22598,Intra,SubPar,Iss,The Government of the Republic of Rwanda and the Rwandese Patriotic Front.,"In the presence of the Facilitator (The Republic of Tanzania): Hon. Ahmed Hassan Diria Minister for Foreign Affairs and International Cooperation. 
In the presence of the Representative of the Current Chairman of the OAU: Papa Louis Fall, Ambassador of Senegal to Ethiopia and Representative to OAU 
For the Secretary General of the OAU, Dr M. T. Mapuranga, Assistant Secretary General of the OAU, in charge of Political Affairs","Continuation of the Protocol of Agreement signed on 30th October, 1992.",RWA,,517,,374,1322,,886,Yes,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,Government,87,Somalia Peace Process,Africa (excl MENA),216,1,Addis Ababa Agreement concluded at the first session of the Conference on National Reconciliation in Somalia,1993-03-27,Multiparty signed/agreed,6,13938,Intra,SubComp,FrAg,"Somali African Muki Org (SAMO), signed for by MR. Mohamed Ramadan Arbow, Chairman;

Somali Democratic Alliance (SDA), signed for by Mr. Mohamed Farah Abdullahi, Chairman;

Somali Democratic Movement (SDM), signed for by Mr. Abdi Muse Mayow, Chairman, and Col. Mohamed Nur Aliyou, Chairman;

Somali National Democratic Union (SNDU), signed for by Mr. Ali Ismael Abdi, Chairman;

Somali National Front (SNF), signed for by Gen. Omar Hagi Mohamed Hersi, Chairman;

Somali National Union (SNU), signed for by Dr. Mohamed Ragis Mohamed, Chairman;

Somali Patriotic Movement (SPM), signed for by Gen. Aden Abdillahi Noor, Chairman, and Ahmed Hashi Mahmoud, Vice-Chairman;

Somali Salvation Democratic Front (SSDF), signed for by Gen. Mohamed Abshir Musse, Chairman;

Southern Somali National Movement (SSNM), signed for by Col. Abdi Warsame Isaaq, Chairman;

United Somali Congress (USC), signed for by Gen. Mohamed Farah Aidid, Chairman , and Mohamed Qanyare Afrah, Chairman;

United Somali Front (USF), signed for by Mr. Abdurahman Dualeh Ali, Chairman;

United Somali Party (USP) signed for by Mr. Mohamed Abdi Hashi, Chairman;","UN, ""regional organizations"", Standing Committee of the Horn",Cease-fire Agreement signed in January of 1993;,SOM,,520,,337,1050,,870,Yes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1621,1,Release of all civilian prisoners and cleaning up of the battle field,1993-04-29,Multiparty signed/agreed,1,1136,Intra,Pre,Conf,"CHIEF COMMANDER of HVO HQ, BRIGADIER MILIVOJ PETKOVIC; CHIEF COMMANDER of BiH ARMY HQ GENERAL SEFER HALILOVIC",,,BIH,,346,,398,,,215,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
